name,palata
Абдраимова Туйгунаалы Дуйшеналиевича,СНП
Абдрисаева Бактыбека Дюшеновича,СНП
Абдылдаева Бакытбека Табылдиевича,СНП
Абдуллаева Абдусатара,СНП
Абсатарова Абдыкайыма Полотовича,СНП
Айбалаева Мамата Мариповича,СНП
Айтматова Чынгыза Торокуловича,СНП
Акказиева Булата Акуновича,СНП
Акматбаева Таберика Коноевича,СНП
Алыкулова Мукамбека Калмаматовича,СНП
Алыкулова Тыныбека Маматжановича,СНП
Анаркулова Тургунбая,СНП
Асаналева Ганы Бекбоевича,СНП
Атамбаева Алмазбека Шаршеновича,СНП
Воробьева Бориса Дмитриевича,СНП
Диль Валерия Исидоровича,СНП
Донобаева Орозалы Дуйшоновича,СНП
Жээнбекова Сооронбая Шариповича,СНП
Заирова Маматоктора Садырбаевича,СНП
Казакбаева Жалгапа Ийманбековича,СНП
Каниметова Жангороза,СНП
Кочкорова Эсенбая,СНП
Кудайбердиева Атагельди,СНП
Кудайбергенова Камчыбека,СНП
Кулмурзаева Тургунбека Насиповича,СНП
Мамакеева Мамбета,СНП
Мамасаидова Мухаммаджана Ташалиевича,СНП
Марышева Анатолия Никитовича,СНП
Масалиева Абсамата Масалиевича,СНП
Матубраимова Алманбета,СНП
Момуналиева Талгарбека,СНП
Матыева Эркинбека Сагыналиевича,СНП
Мурзубраимова Бектимира,СНП
Нур уулу Досбола,СНП
Омуркулова Ису Шейшенкуловича,СНП
Осмонова Бекмамата,СНП
Примова Бердибая,СНП
Раимбекова Жолдошбека Раимбековича,СНП
Раимкулова Асана,СНП
Сабирова Даврана Муратовича,СНП
Садыбакасову Шарипу,СНП
Сарыгулова Дастана Исламовича,СНП
Султанова Бекболота Мырзакасымовича,СНП
Сыдыкова Усена,СНП
Тентиева Дженишбека Абдиевича,СНП
Тойчубекова Юруслана Жумановича,СНП
Токоева Ису Насыралиевича,СНП
Токтоболотова Малабека Анашевича,СНП
Токтомышева Советбека,СНП
Толонова Арапбая,СНП
Торобаева Эргеша Торобаевича,СНП
Тулубердиева Жамалбека Тулебердиевича,СНП
Узакбаева Эмильбека Узакбаевича,СНП
Урманаева Султана Исакуновича,СНП
Усубалиева Турдакуна Усубалиевича,СНП
Фаттахова Бахтияржана Азизовича,СНП
Шевелева Владимира Николаевича,СНП
Эркебаева Абдыганы,СНП
Эркинбаева Баямана Гавусовича,СНП
Эрматова Аскарбека Эрматовича,СНП
Адамбекова Доктурбека Адамбековича,ЗС
Акматбекова Зарылбека,ЗС
Артыкова Анвара,ЗС
Ачыловой Рахат,ЗС
Байболова Кубатбека Калбековича,ЗС
Бакир уулу Турсунбай,ЗС
Бокошева Жамгырбека,ЗС
Гогаева Бориса Хамитовича,ЗС
Гринько Виктора Михайловича,ЗС
Джангарачевой Миры Камилевны,ЗС
Жалилова Имамберди,ЗС
Жекшеева Жыпара,ЗС
Жоробекова Жолборса,ЗС
Жураева Бурибая Жураевича,ЗС
Ибраимова Абыта,ЗС
Кадырбекова Адылбека,ЗС
Качкеева Рыспека Омоевича,ЗС
Мадумарова Адахама Кимсанбаевича,ЗС
Мамаюсупова Омурзака Шерановича,ЗС
Мукамбаева Усупа,ЗС
Мусулманкулова Октября Кыдырмаевича,ЗС
Проненко Алевтины Павловны,ЗС
Сабирова Алишера Ахмедовича,ЗС
Садырбаева Дооронбека,ЗС
Сыдыкова Шералы Матеновича,ЗС
Текебаева Омурбека Чиркешовича,ЗС
Усенова Данияра Токтогуловича,ЗС
Чолпонбаева Мукара Шалтаковича,ЗС
Шайлиевой Токон Асановны,ЗС
Молдогазиева Эркинтура,СНП
Джеенбекова Сатывалды Амиражановича,ЗС
Суваналиева Омурбека Исаковича,ЗС
Мамытова Миталипа,СНП
Кадырбекова Ишенбая Дюшенбиевича,ЗС
Орозбаева Мамата,СНП
Идинова Кубанычбека,ЗС
Ибраимова Жумабека Ибраимовича,СНП
Калмурзаева Марата Исмаиловича,СНП
Акималиева Джамина,СНП
Коркмазова Хаджимурата Зулкарнаевича,ЗС
Исмаилова Есена Жумазовича,СНП
Авдеева Валерия Михайловича,ЗС
Дунларова Шабара Манеевича,СНП
Малиева Арсланбека Касымакуновича,СНП
Байходжоева Болота Мукашевича,СНП
