name
Субанов М.У.
Абдимомунов А.А.
Исаков И.И.
Карпасов А.В.
Султанов А.А.
Токоев И.Н.
Чырмашев С.Ч.
Байболов К.К.
Акунов Б.А.
Бекназаров А.А.
Кадырбеков И.Д.
Курманов 3.К.
Лобода А.Ю.
Мадумаров А.К.
Балтабаев Т.
Бекбоев Б.С.
Дуйшеев О.Д.
Иманкулов Б.А.
Худайбергенов Б.Д.
Чырмашев С.
Шадиев А.А.
Усубалиев Т.У.
Жапаров А.У.
Алымбеков Б.М.
Асанов Б.Ж.
Коркмазов X.3.
Сабиров А.А.
Шарапов 3.Э.
Жураев Б.Ж.
Масалиев А.М.
Карабеков К.Д.
Толоконцев В.Г.
Султанов М.А.
Абдурасулова Т.А.
Акназарова Р.К.
Джолдошев К.Н.
Сариев Т.А.
Сарпашев Т.Д.
Таштанбеков А.Д.
Чекиев Т.У.
Чотонов Д.Т.
Керимбеков Б.М.
Малиев А.К.
Булекбаев Э.К.
Молдоташев И.К.
Байло Н.И.
Бакир уулу Турсунбай
Гогаев Б.X.
Алымкулов К.
Проненко А.П.
Раимкулов А.Р.
Малеваная О.А.
Карабеков К.Д
Комиссарова Л.Н.
Каниметов Ж.
Керимкулов А.Т.
Чырмашев С. 
Гогаев Б.Х.
Курманов З.К.
Каниметов Ж. 
Карпасов В.Г.
