name,party
Абдуллаев Абдурахман Абдусаттарович,"Алга, Кыргызстан"
Абдурасулов Ином Эргашевич,Самовыдвиженец
Абдылдаев Нурдин Туратбекович,"Алга, Кыргызстан"
Абжалиев Алиярбек Токобекович,Самовыдвиженец
Акаев Айдар Аскарович,Самовыдвиженец
Алымбеков Эркинбек Джумабаевич,Самовыдвиженец
Артыкбаев Осмонбек Мамбетжанович,"Алга, Кыргызстан"
Бабанов Омурбек Токтогулович,Самовыдвиженец
Байболов Кубатбек Калбекович,Самовыдвиженец
Байсалов Эркин Абдыкадырович,Самовыдвиженец
Батыров Кадыржан Алымджанович,Самовыдвиженец
Бурканов Арзыбек Орозматович,"Алга, Кыргызстан"
Данилов Юрий Анатольевич,Самовыдвиженец
Джураев Мурат Каттабекович,Самовыдвиженец
Жамалдинов Зиядин Исламович,Самовыдвиженец
Жапаров Садыр Нургожоевич,Самовыдвиженец
Жолдошбаев Камчыбек Жолдошбаевич,Адилет
Журавлев Олег Владимирович,"Алга, Кыргызстан"
Иманалиев Жусуп Умарович,Самовыдвиженец
Иманалиев Каныбек Капашович,Самовыдвиженец
Ирсалиев Рахатбек Молдобекович,Самовыдвиженец
Исабеков Кубанычбек Сатиндиевич,Новая сила
Карабеков Кабай Джабаевич,Самовыдвиженец
Келдибеков Ахматбек Келдибекович,Самовыдвиженец
Керексизов Ташкул Джанузакович,Самовыдвиженец
Керимкулов Айдарбек Темирбекович,"Алга, Кыргызстан"
Арстанбеков Акылбек Советбекович,Самовыдвиженец
Коркмазов Хаджимурат Зулкарнаевич,Самовыдвиженец
Орозбаев Мамат,Самовыдвиженец
Малабаев Муратбек Жеенбекович,Самовыдвиженец
Малиев Арсланбек Касымакунович,Самовыдвиженец
Мамасаидов Махаммаджан Ташалиевич,"Алга, Кыргызстан"
Мамыров Раимбек Сатыкулович,Самовыдвиженец
Марипов Асамидин,"Алга, Кыргызстан"
Масалиев Исхак Абсаматович,Партия коммунистов Кыргызстана
Момункулов Авасбек,"Алга, Кыргызстан"
Мукашев Муратбек Осмоналиевич,Движение Ата-Журт
Мурзубраимов Бектемир,Адилет
Нышанов Сайдилла Канболотович,Самовыдвиженец
Омуркулов Иса Шейшенкулович,Адилет
Ормонов Улугбек Зулпукарович,Самовыдвиженец
Оскомбаев Дамир Абдыкеримович,"Алга, Кыргызстан"
Попов Сергей Владимирович,Самовыдвиженец
Сабиров Алишер Ахмедович,Самовыдвиженец
Сабиров Давран Муратович,Самовыдвиженец
Садырбаев Дооронбек,Движение Ата-Журт
Салымбеков Аскар Мааткабылович,"Алга, Кыргызстан"
Салымбеков Мамытбай Маткабылович,"Алга, Кыргызстан"
Самаков Карганбек Садыкович,Самовыдвиженец
Сариев Темир Аргембаевич,Самовыдвиженец
Сарпашев Тайырбек Дуйшекеевич,"Алга, Кыргызстан"
Сатыбалдиев Жанторо Жолдошевич,Самовыдвиженец
Субанбеков Таалайбек Джамалович,Самовыдвиженец
Султанов Марат Абдыразакович,Самовыдвиженец
Тагаев Айтибай Султанович,"Алга, Кыргызстан"
Тагаев Рашид Бакирович,Самовыдвиженец
Ташиев Камчыбек Кыдыршаевич,Самовыдвиженец
Текебаев Омурбек Чиркешович,Движение Ата-Журт
Толонов Арапбай,Самовыдвиженец
Торобаев Эргеш Торобаевич,"Алга, Кыргызстан"
Турсунбаев Азизбек Атакозуевич,Самовыдвиженец
Урманаев Султан Исакунович,Самовыдвиженец
Хакимов Абдумуталип Мирзарахимович,"Алга, Кыргызстан"
Шадиев Аскарбек Алимбаевич,"Алга, Кыргызстан"
Шерниязов Болотбек Эсентаевич,Движение Ата-Журт
Шин Роман Александрович,"Алга, Кыргызстан"
Аркабаев Номанжан Акматович,Самовыдвиженец
Эсенаманов Замирбек Садыбакасович,Адилет
Эшимканов Мелис Асаналиевич,Самовыдвиженец
Бекназаров Азимбек Анаркулович,Народное движение Кыргызстана
Кудайбергенов Джаныш Камчибекович,Самовыдвиженец
Марипов Болот Арапбаевич,Самовыдвиженец
