name,party
Абдылдаева Мыктыбека Юсуповича,«АТА-ЖУРТ»
Ташиева Камчыбека Кыдыршаевича,«АТА-ЖУРТ»
Келдибекова Ахматбека Келдибековича,«АТА-ЖУРТ»
Иманалиеву Эльмиру Сансызбаевну,«АТА-ЖУРТ»
Тюлеева Наримана Ташболотовича,«АТА-ЖУРТ»
Кангельдиева Азамата Нурказыевича,«АТА-ЖУРТ»
Джумабекова Дастанбека Артисбековича,«АТА-ЖУРТ»
Джолдошову Жылдызкан Айтибаевну,«АТА-ЖУРТ»
Кудайбергенова Джаныша Камчыбековича,«АТА-ЖУРТ»
Чолпонбаева Улана Сапарбековича,«АТА-ЖУРТ»
Айдарова Нургазы Абдыраевича,«АТА-ЖУРТ»
Исаеву Динару Шертаевну,«АТА-ЖУРТ»
Молдобаева Нарынбека,«АТА-ЖУРТ»
Султанова Марата Абдыразаковича,«АТА-ЖУРТ»
Жапарова Садыра Нургожоевича,«АТА-ЖУРТ»
Эсеналиеву Сымбат,«АТА-ЖУРТ»
Сулайманова Нурлана Чолпонбаевича,«АТА-ЖУРТ»
Суракматова Азиза Эмильбековича,«АТА-ЖУРТ»
Шин Романа,«АТА-ЖУРТ»
Мажитову Шарапаткан,«АТА-ЖУРТ»
Арапбаева Азамата Абдуллажановича,«АТА-ЖУРТ»
Осмонова Курманбека Эргешовича,«АТА-ЖУРТ»
Джунусова Ибрагима Коджоназаровича,«АТА-ЖУРТ»
Нарматову Надиру Азимовну,«АТА-ЖУРТ»
Мамытова Таланта Турдумаматовича,«АТА-ЖУРТ»
Абдиева Курмантая,«АТА-ЖУРТ»
Иманалиева Жусупа Умаровича,«АТА-ЖУРТ»
Осмонову Нурзат Курманбековну,«АТА-ЖУРТ»
Атамбаева Алмазбека Шаршеновича,СДПК
Исакова Исмаила Исаковича,СДПК
Турсунбекова Чыныбая Акуновича,СДПК
Карамушкину Ирину Юрьевну,СДПК
Атаджанова Сабира Садыкджановича,СДПК
Жээнбекова Асилбека Шариповича,СДПК
Алымбекова Замирбека Маданбековича,СДПК
Жамгырчиеву Гульнару Оморовну,СДПК
Эрматова Эгемберди,СДПК
Тербишалиева Данияра Омурзаковича,СДПК
Сакебаева Эркина Абдышевича,СДПК
Ниязалиеву Дамиру Абаскановну,СДПК
Асанова Курсана Сатаровича,СДПК
Салымбекова Мамытбая Маткабыловича,СДПК
Салимова Турсунтая Аблизовича,СДПК
Скрипкину Галину Анатольевну,СДПК
Домшенко Олега Леонидовича,СДПК
Исаева Жусупали Калматовича,СДПК
Туманова Токтогула Тумановича,СДПК
Измалкову Аллу Николаевну,СДПК
Султанова Акылбека Шакировича,СДПК
Орозбаева Мамата,СДПК
Зулпукарова Төрөбая Закировича,СДПК
Кадыралиеву Ыргал Кармышаковну,СДПК
Жоошбекова Заирбека Сулаймановича,СДПК
Кадырова Бахтияра Сабиржановича,СДПК
Кулова Феликса Шаршенбаевича,«АР-НАМЫС»
Жапарова Акылбека Усенбековича,«АР-НАМЫС»
Бакир уулу Турсунбая,«АР-НАМЫС»
Мамырову Бөдөш Аманбаевну,«АР-НАМЫС»
Артыкова Анвара,«АР-НАМЫС»
Гусарова Игоря Константиновича,«АР-НАМЫС»
Туманова Кубанычбека Тумановича,«АР-НАМЫС»
Асымбекову Гульнару Уметовну,«АР-НАМЫС»
Торобекова Нурлана Надировича,«АР-НАМЫС»
Бекешева Дастана Далабайевича,«АР-НАМЫС»
Маматалиева Абдырахмана Мадакимовича,«АР-НАМЫС»
Талиеву Камилу Абдыразаковну,«АР-НАМЫС»
Мамытова Токтокучука Болотбековича,«АР-НАМЫС»
Калматова Анарбека Баратовича,«АР-НАМЫС»
Рыспаева Кожобека Джайчыбековича,«АР-НАМЫС»
Бадыкееву Нуржану Нуралиевну,«АР-НАМЫС»
Джетигенова Бакытбека Дженишбековича,«АР-НАМЫС»
Узакбаева Талантбека Макишовича,«АР-НАМЫС»
Бекбоева Замира Исаковича,«АР-НАМЫС»
Левину Татьяну Владимировну,«АР-НАМЫС»
Осмоналиева Каныбека,«АР-НАМЫС»
Иманалиева Каныбека Капашовича,«АР-НАМЫС»
Маматова Бактыгула Арстановича,«АР-НАМЫС»
Алтыбаеву Айнуру Тойчиевну,«АР-НАМЫС»
Исакова Эсенгула,«АР-НАМЫС»
Бабанова Омурбека Токтогуловича,«РЕСПУБЛИКА»
Алимбекова Нурбека Каарыевича,«РЕСПУБЛИКА»
Пирматова Исхака Айтбаевича,«РЕСПУБЛИКА»
Султанбекову Чолпон Аалыевну,«РЕСПУБЛИКА»
Исаева Канатбека Кедейкановича,«РЕСПУБЛИКА»
Торобаева Бакыта Эргешевича,«РЕСПУБЛИКА»
Сулайманова Алтынбека Турдубаевича,«РЕСПУБЛИКА»
Баатырбекова Алмазбека Баатырбековича,«РЕСПУБЛИКА»
Акназарову Розу Корчубековну,«РЕСПУБЛИКА»
Бокоева Кенжебека Сатымкуловича,«РЕСПУБЛИКА»
Арипова Назарали Турдалиевича,«РЕСПУБЛИКА»
Джумалиеву Эльмиру Бусурманкуловну,«РЕСПУБЛИКА»
Обдунова Элмурата Абдуваповича,«РЕСПУБЛИКА»
Осмонова Малика Калыловича,«РЕСПУБЛИКА»
Аманбаеву Урулкан Абдилашимовну,«РЕСПУБЛИКА»
Айтматова Куштарбека Суюнбаевича,«РЕСПУБЛИКА»
Шайназарова Тынчтыка Урайимовича,«РЕСПУБЛИКА»
Омурбекову Алтынай Сейтбековну,«РЕСПУБЛИКА»
Бакирова Мирлана Исакбековича,«РЕСПУБЛИКА»
Мурашева Нурбека Мурпазылжановича,«РЕСПУБЛИКА»
Бекматова Абдыжапара Гапыровича,«РЕСПУБЛИКА»
Сабирова Максата Эсеновича,«РЕСПУБЛИКА»
Режавалиева Абдулатипа Маматасановича,«РЕСПУБЛИКА»
Текебаева Омурбека Чиркешовича,«АТА МЕКЕН»
Шер Болота,«АТА МЕКЕН»
Никитенко Наталью Владимировну,«АТА МЕКЕН»
Сапарбаева Жоомарта Рахатовича,«АТА МЕКЕН»
Алымбекова Эркинбека Джумабаевича,«АТА МЕКЕН»
Балтабаева Ташполота,«АТА МЕКЕН»
Сасыкбаеву Асию Айтбаевну,«АТА МЕКЕН»
Самакова Карганбека Садыковича,«АТА МЕКЕН»
Маматова Абдимуктара,«АТА МЕКЕН»
Мадылбекова Туратбека,«АТА МЕКЕН»
Садырбаеву Гуласал,«АТА МЕКЕН»
Абдырахманова Омурбека,«АТА МЕКЕН»
Тологонова Райкана,«АТА МЕКЕН»
Жээнбекова Равшана Бабырбековича,«АТА МЕКЕН»
Айтматову Ширин,«АТА МЕКЕН»
Калмаматова Бактыбека,«АТА МЕКЕН»
Сабирова Равшанбека Азатовича,«АТА МЕКЕН»
Досалиева Акуналы Атамурзаевича,«АТА МЕКЕН»
https://web.archive.org/web/20111019201606/https://www.shailoo.gov.kg/index.php?module=content&page=O_registracii_izbrannyh_deputatov__Jogorku_Kenesha___Kyrgyzskoy_Respubliki_&pagelang=ru,
