index,name,party
1,Абдылдаев Мыктыбек Юсупович,Парламентская фракция «Бир Бол»
2,Абжалиев Алиярбек Токобекович,Парламентская фракция «Республика - Ата Журт»
3,Айдаров Салайдин Абдираевич,Парламентская фракция «Кыргызстан»
4,Айнакулов Мухтарбек Айнакулович,Парламентская фракция СДПК
5,Акаев  Жанарбек Кубанычович,Парламентская фракция СДПК
6,Акматов Алмазбек Жумабекович,Парламентская фракция «Бир Бол»
7,Алимбеков Нурбек Каарыевич,Парламентская фракция «Кыргызстан»
8,Алтыбаева Айнуру Тойчиевна,Парламентская фракция СДПК
9,Алтынбеков Айбек,Парламентская фракция «Республика - Ата Журт»
10,Алыбаев   Орозбек  Артельевич,Парламентская фракция «Кыргызстан»
11,Аманкулов Марат Аскерович,Парламентская фракция СДПК
12,Арапбаев Азамат Абдуллажанович,Парламентская фракция СДПК
13,Артыкбаев Осмонбек Мамбетжанович,Парламентская фракция СДПК
14,Артыков Анвар Артыкович,Парламентская фракция СДПК
15,Аскарова Айнура Алмасбековна,Парламентская фракция «Кыргызстан»
16,Асылбаева Гүлшат Кадыровна,Парламентская фракция «Онугуу-Прогресс»
17,Аттокуров Данияр Бексултанович,Парламентская фракция СДПК
18,Баатырбеков  Алмазбек Баатырбекович,Парламентская фракция «Кыргызстан»
19,Байбакпаев Экмат Джурукпаевич,Парламентская фракция «Республика - Ата Журт»
20,Баймуратов Калдарбек Шакирович,Парламентская фракция «Республика - Ата Журт»
21,Бакиров Мирлан Исакбекович,Парламентская фракция «Онугуу-Прогресс»
22,Бакиров Өмүрбек Мирзараимович,Парламентская фракция СДПК
23,Бакчиев Жаныбек Абдукапарович,Парламентская фракция «Бир Бол»
24,Бекешев Дастан Далабайевич,Парламентская фракция СДПК
25,Бокоев Кенжебек Сатымкулович,Парламентская фракция «Республика - Ата Журт»
26,Гайпкулов Искандер Төрөбаевич,Парламентская фракция «Ата Мекен»
27,Джумабеков Дастанбек Артисбекович,Парламентская фракция «Кыргызстан»
28,Джураев Сайдолимжон Маруфович,Парламентская фракция СДПК
29,Дюшалиев Абдыбек Кашымбекович,Парламентская фракция «Республика - Ата Журт»
30,Жамалдинов Зиядин Исламович,Парламентская фракция «Онугуу-Прогресс»
31,Жапаров Акылбек Усенбекович,Парламентская фракция «Бир Бол»
32,Жеенчороев Мирлан Канатбекович,Парламентская фракция «Республика - Ата Журт»
33,Жетигенов Бакытбек Жеңишбекович,Парламентская фракция СДПК
34,Жолдошбаев Камчыбек Жолдошбаевич,Парламентская фракция «Онугуу-Прогресс»
35,Жоробеков Тариел Улукбекович,Парламентская фракция «Республика - Ата Журт»
36,Жумалиев Кубанычбек Мырзабекович,Парламентская фракция «Бир Бол»
37,Жунус уулу Адыл,Парламентская фракция «Республика - Ата Журт»
38,Жунус уулу Алтынбек,Парламентская фракция «Онугуу-Прогресс»
39,Жутанов Алмаз Токтоназарович,Парламентская фракция «Онугуу-Прогресс»
40,Жээнбеков Асылбек Шарипович,Парламентская фракция СДПК
41,Зулпукаров Төрөбай Закирович,Парламентская фракция СДПК
42,Зулушев Курманкул Токторалыевич,Парламентская фракция «Республика - Ата Журт»
43,Икрамов Тазабек Икрамович,Парламентская фракция «Онугуу-Прогресс»
44,Иманалиев Каныбек Капашович,Парламентская фракция «Ата Мекен»
45,Исаева Динара Шертаевна,Парламентская фракция «Республика - Ата Журт»
46,Исаев Жаныбек Базаркулович,Парламентская фракция «Кыргызстан»
47,Исаев Канатбек Кедейканович,Парламентская фракция «Кыргызстан»
48,Исмаилова Аида Жекшенбаевна,Парламентская фракция «Республика - Ата Журт»
49,Казакбаев Руслан Айтбаевич,Парламентская фракция «Республика - Ата Журт»
50,Карамушкина Ирина Юрьевна,Парламентская фракция СДПК
51,Карашев Аалы Азимович,Парламентская фракция СДПК
52,Каримов Нодирбек Тохтосинович,Парламентская фракция СДПК
53,Касымалиева  Аида Камчыбековна,Парламентская фракция СДПК
54,Келдибаев Сагындык Аширалиевич,Парламентская фракция «Республика - Ата Журт»
55,Керезбеков Канат Керезбекович,Парламентская фракция СДПК
56,Кодуранова Асель Союзбековна,Парламентская фракция СДПК
57,Конушбаев Тынчтыкбек Кадырбекович,Парламентская фракция «Кыргызстан»
58,Кулбараков Абтандил Илдузович,Парламентская фракция СДПК
59,Кыдыралиев Умбеталы Токторалиевич,Парламентская фракция «Республика - Ата Журт»
60,Мавлянова Махабат Эргешовна,Парламентская фракция «Республика - Ата Журт»
61,Мадеминов Мурадыл Ганыевич,Парламентская фракция СДПК
62,Маматалиев Марлен Абдырахманович,Парламентская фракция «Республика - Ата Журт»
63,Маматов Абдимуктар Маматович,Парламентская фракция «Ата Мекен»
64,Мамашова Айсулуу Турусбековна,Парламентская фракция «Ата Мекен»
65,Мамытов Талант Турдумаматович,Парламентская фракция «Республика - Ата Журт»
66,Маннанов Ильхом Абдукахарович,Парламентская фракция СДПК
67,Масабиров Талайбек Айтмаматович,Парламентская фракция «Кыргызстан»
