name,party
Абдимомунов Алишер,Самовыдвиженцы
Исаев Кыдык Шайдинович,Самовыдвиженцы
Иманалиев Каныбек Капашович,Самовыдвиженцы
Измаилов Аскар Бекматович,Самовыдвиженцы
Жээнбеков Сооронбай Шарипович,Самовыдвиженцы
Жолчиев Бакир Дыйканович,Самовыдвиженцы
Диль Валерий Исидорович,Самовыдвиженцы
Васильев Лев Алексеевич,Самовыдвиженцы
Борубаев Алтай Асылканович,Самовыдвиженцы
Бакиев Осмонбек Керимбаевич,Самовыдвиженцы
Байкоджоев Болот Мукашевич,Самовыдвиженцы
Калматов Тойгонбай Зикирович,Самовыдвиженцы
Алыкулов Муканбек Калмаматович,Самовыдвиженцы
Акулуев Жуман Кемелович,Самовыдвиженцы
Акаев Асанкул,Самовыдвиженцы
Айдаров Нургазы Абдыраевич,Самовыдвиженцы
Абдылдаев Таалайбек Адылбаевич,Самовыдвиженцы
Эркебаев Абдыганы,Самовыдвиженцы
Шарапов Закир Эшматович,Самовыдвиженцы
Чотонов Дуйшенкул Тезекбаевич,Самовыдвиженцы
Чекиев Турдубек Узакбаевич,Самовыдвиженцы
Худайбергенов Болот Джузумкулович,Самовыдвиженцы
Усубалиев Турдакун Усубалиевич,Самовыдвиженцы
Акылбеков Искендер Кадырбекович,Самовыдвиженцы
Касымов Камбаралы Жолотаевич,Самовыдвиженцы
Кожомкулов Тулемуш Жапаркулович,Самовыдвиженцы
Кочкоров Эсенбай,Самовыдвиженцы
Эркинбаев Баяман Гавусович,Самовыдвиженцы
Шер Болот,Самовыдвиженцы
Шарипов Курманбек,Самовыдвиженцы
Турдумамбетов Жолдошбек,Самовыдвиженцы
Торобаев Эргеш Торобаевич,Самовыдвиженцы
Толонов Арапбай,Самовыдвиженцы
Тилебалиев Адылбек Казыбекович,Самовыдвиженцы
Самаков Карганбек Садыкович,Самовыдвиженцы
Садыбакасова Шарипа Садыбакасовна,Самовыдвиженцы
Савицкий Александр Васильевич,Самовыдвиженцы
Сабиров Давран Муратович,Самовыдвиженцы
Рустенбеков Джаныш Султанкулович,Самовыдвиженцы
Омуркулов Иса Шейшенкулович,Самовыдвиженцы
Назаралиев Эсенбай Сейдилдаевич,Самовыдвиженцы
Мурзубраимов Бектемир,Самовыдвиженцы
Мукашев Муратбек Осмоналиевич,Самовыдвиженцы
Морозов Павел Александрович,Самовыдвиженцы
Медетбеков Шамшыбек Осмонкулович,Самовыдвиженцы
Масалиев Исхак Абсаматович,Самовыдвиженцы
Марипов Асамидин,Самовыдвиженцы
Маматов Самаган,Самовыдвиженцы
Мамасаидов Мухаммаджан Ташалиевич,Самовыдвиженцы
Маманов Рустам Ырысбаевич,Самовыдвиженцы
Толоконцев Владимир Григорьевич,Самовыдвиженцы
Эрматов Аскарбек Эрматович,Самовыдвиженцы
Токоев Иса Насыралиевич,Самовыдвиженцы
Таштанбеков Акбокон Дукенович,Самовыдвиженцы
Иманкулов Бактыбек Абдыкулович,Самовыдвиженцы
Жураев Бурибай Жураевич,Самовыдвиженцы
Джолдошев Кубанычбек Ниязович,Самовыдвиженцы
Жапаров Акылбек Усенбекович,Самовыдвиженцы
Дуйшеев Орозбек Дуйшеевич,Самовыдвиженцы
Гогаев Борис Хамитович,Самовыдвиженцы
Булекбаев Эркин Касымович,Самовыдвиженцы
Шадиев Аскарбек Алимбаевич,Самовыдвиженцы
Алымбеков Бактыбек Маданбекович,Самовыдвиженцы
Чырмашев Сатывалды Чырмашевич,Самовыдвиженцы
Исаков Исмаил Исакович,Самовыдвиженцы
Акназарова Роза Корчубековна,Самовыдвиженцы
Бекназаров Азимбек Анаркулович,Самовыдвиженцы
Бекбоев Бакытбек Сагыналиевич,Самовыдвиженцы
Балтабаев Ташболот,Самовыдвиженцы
Бакир уулу Турсунбай,Самовыдвиженцы
Байло Николай Иванович,Самовыдвиженцы
Байболов Кубатбек Калбекович,Самовыдвиженцы
Асанов Бектур Жантороевич,Самовыдвиженцы
Алымкулов Карыпбек,Самовыдвиженцы
Акунов Бейшебек Акунович,Самовыдвиженцы
Абдурасулова Тажиниса,Самовыдвиженцы
Боромбаева Токтокан Жолуевна,Самовыдвиженцы
Кадырбеков Ишенбай Дюшенбиевич,Самовыдвиженцы
Каниметов Жангороз,Самовыдвиженцы
Карабеков Кабай Джабаевич,Самовыдвиженцы
Султанов Марат Абдыразакович,Самовыдвиженцы
Султанов Алымбай Алымбекович,Самовыдвиженцы
Субанов Мырзакан Усурканович,Самовыдвиженцы
Сарпашев Тайырбек Дуйшекеевич,Самовыдвиженцы
Сариев Темир Аргембаевич,Самовыдвиженцы
Садырбаев Дооронбек,Самовыдвиженцы
Сабиров Алишер Ахмедович,Самовыдвиженцы
Раимкулов Асан,Самовыдвиженцы
Проненко Алевтина Павловна,Самовыдвиженцы
Молдоташев Ишенбай Курманович,Самовыдвиженцы
Масалиев Абсамат Масалиевич,Самовыдвиженцы
Мамбеталиева Асель Усаиновна,Самовыдвиженцы
Малиев Арсланбек Касымакунович,Самовыдвиженцы
Малеваная Оксана Александровна,Самовыдвиженцы
Мадумаров Адахан Кимсанбаевич,Самовыдвиженцы
Лобода Андрей Юрьевич,Самовыдвиженцы
Кучуков Махмут Мамаевич,Самовыдвиженцы
Курманов Зайнидин Карпекович,Самовыдвиженцы
Коркмазов Хаджимурат Зулкарнаевич,Самовыдвиженцы
Комиссарова Любовь Николаевна,Самовыдвиженцы
Керимкулов Айдарбек Темирбекович,Самовыдвиженцы
Керимбеков Бакыт Макенович,Самовыдвиженцы
Карпасов Александр Викторович,Самовыдвиженцы
Текебаев Омурбек Чиркешович,Самовыдвиженцы
Эшенкулов Жениш Жусупбекович,Самовыдвиженцы
