name,party
Абдуллаев Абдурахман Абдусаттарович,Самовыдвиженец
Сатыбалдиев Жанторо Жолдошевич,Самовыдвиженец
Сарпашев Тайырбек Дуйшекеевич,Самовыдвиженец
Сариев Темир Аргембаевич,Самовыдвиженец
Самаков Карганбек Садыкович,Самовыдвиженец
Салымбеков Мамытбай Маткабылович,Самовыдвиженец
Салымбеков Аскар Мааткабылович,Самовыдвиженец
Субанбеков Таалайбек Джамалович,Самовыдвиженец
Садырбаев Дооронбек,Самовыдвиженец
Сабиров Алишер Ахмедович,Самовыдвиженец
Попов Сергей Владимирович,Самовыдвиженец
Оскомбаев Дамир Абдыкеримович,Самовыдвиженец
Ормонов Улугбек Зулпукарович,Самовыдвиженец
Омуркулов Иса Шейшенкулович,Самовыдвиженец
Нышанов Сайдилла Канболотович,Самовыдвиженец
Сабиров Давран Муратович,Самовыдвиженец
Мурзубраимов Бектемир,Самовыдвиженец
Султанов Марат Абдыразакович,Самовыдвиженец
Тагаев Рашид Бакирович,Самовыдвиженец
Бекназаров Азимбек Анаркулович,Самовыдвиженец
Эшимканов Мелис Асаналиевич,Самовыдвиженец
Эсенаманов Замирбек Садыбакасович,Самовыдвиженец
Аркабаев Номанжан Акматович,Самовыдвиженец
Шин Роман Александрович,Самовыдвиженец
Шерниязов Болотбек Эсентаевич,Самовыдвиженец
Тагаев Айтибай Султанович,Самовыдвиженец
Шадиев Аскарбек Алимбаевич,Самовыдвиженец
Урманаев Султан Исакунович,Самовыдвиженец
Турсунбаев Азизбек Атакозуевич,Самовыдвиженец
Торобаев Эргеш Торобаевич,Самовыдвиженец
Толонов Арапбай,Самовыдвиженец
Текебаев Омурбек Чиркешович,Самовыдвиженец
Ташиев Камчыбек Кыдыршаевич,Самовыдвиженец
Хакимов Абдумуталип Мирзарахимович,Самовыдвиженец
Мукашев Муратбек Осмоналиевич,Самовыдвиженец
Момункулов Авасбек,Самовыдвиженец
Масалиев Исхак Абсаматович,Самовыдвиженец
Жамалдинов Зиядин Исламович,Самовыдвиженец
Джураев Мурат Каттабекович,Самовыдвиженец
Данилов Юрий Анатольевич,Самовыдвиженец
Бурканов Арзыбек Орозматович,Самовыдвиженец
Батыров Кадыржан Алымджанович,Самовыдвиженец
Байсалов Эркин Абдыкадырович,Самовыдвиженец
Жапаров Садыр Нургожоевич,Самовыдвиженец
Байболов Кубатбек Калбекович,Самовыдвиженец
Артыкбаев Осмонбек Мамбетжанович,Самовыдвиженец
Алымбеков Эркинбек Джумабаевич,Самовыдвиженец
Акаев Айдар Аскарович,Самовыдвиженец
Абжалиев Алиярбек Токобекович,Самовыдвиженец
Абдылдаев Нурдин Туратбекович,Самовыдвиженец
Абдурасулов Ином Эргашевич,Самовыдвиженец
Бабанов Омурбек Токтогулович,Самовыдвиженец
Жолдошбаев Камчыбек Жолдошбаевич,Самовыдвиженец
Журавлев Олег Владимирович,Самовыдвиженец
Иманалиев Жусуп Умарович,Самовыдвиженец
Марипов Асамидин,Самовыдвиженец
Мамыров Раимбек Сатыкулович,Самовыдвиженец
Мамасаидов Махаммаджан Ташалиевич,Самовыдвиженец
Малиев Арсланбек Касымакунович,Самовыдвиженец
Малабаев Муратбек Жеенбекович,Самовыдвиженец
Орозбаев Мамат,Самовыдвиженец
Коркмазов Хаджимурат Зулкарнаевич,Самовыдвиженец
Арстанбеков Акылбек Советбекович,Самовыдвиженец
Керимкулов Айдарбек Темирбекович,Самовыдвиженец
Керексизов Ташкул Джанузакович,Самовыдвиженец
Келдибеков Ахматбек Келдибекович,Самовыдвиженец
Карабеков Кабай Джабаевич,Самовыдвиженец
Исабеков Кубанычбек Сатиндиевич,Самовыдвиженец
Ирсалиев Рахатбек Молдобекович,Самовыдвиженец
Иманалиев Каныбек Капашович,Самовыдвиженец
Кудайбергенов Джаныш Камчыбекович,Самовыдвиженец
Марипов Болот Арапбаевич,Самовыдвиженец
