name,party
Абдуллаева Чолпон Галийаскеровна,Ак Жол
Рахимдинова Жылдыз Турсуновна,Ак Жол
Попов Сергей Владимирович,Ак Жол
Орозалиев Табылды,Ак Жол
Ормонов Улугбек Зулпукарович,Ак Жол
Наргозуев Бегалы Молдогозуевич,Ак Жол
Назаров Орзубек Пулетович,Ак Жол
Молдошева Динара Автандиловна,Ак Жол
Молдобаев Нарынбек,Ак Жол
Мамасалиев Алишер Тургунбаевич,Ак Жол
Мамасаидов Махаммаджан Ташалиевич,Ак Жол
Летова Ирина Витальевна,Ак Жол
Кыдыров Дуйшембек Шакирович,Ак Жол
Курманов Зайнидин Карпекович,Ак Жол
Кунакунов Максат Касымжанович,Ак Жол
Куликова Галина Александровна,Ак Жол
Кулбаев Абдирейим Стамкулович,Ак Жол
Кудайбергенов Джаныш Камчыбекович,Ак Жол
Сабиров Алишер Ахмедович,Ак Жол
Койчубаков Нурлан Кенешович,Ак Жол
Садыбакасова Шарипа,Ак Жол
Салахудинов Жалаллидин Сабахидинович,Ак Жол
Абдырасаков Бейшенбек Токтобаевич,Ак Жол
Абдыраимова Роза Асановна,Ак Жол
Юсуров Абдумажит Лелезович,Ак Жол
Шадиев Аскарбек Алимбаевич,Ак Жол
Шабанова Татьяна Владимировна,Ак Жол
Турсунбаев Азизбек Атакозуевич,Ак Жол
Тулендыбаев Пархат Розымович,Ак Жол
Торобаев Бакыт Эргешевич,Ак Жол
Толонов Арапбай,Ак Жол
Тагаев Рашид Бакирович,Ак Жол
Тагаев Айтибай Султанович,Ак Жол
Сыдыкова Лейла Чынтургановна,Ак Жол
Сулайманов Алтынбек Турдубаевич,Ак Жол
Сидоренко Раиса Васильевна,Ак Жол
Сан Борис Анатольевич,Ак Жол
Салымбеков Аскар Мааткабылович,Ак Жол
Сакебаев Советбек Абдышевич,Ак Жол
Айдаров Нургазы Абдыраевич,Ак Жол
Керимова Нурбюбю Сартовна,Ак Жол
Каримов Алмазбек Ташполотович,Ак Жол
Баекова Чолпон Турсуновна,Ак Жол
Аттокуров Осмонали Абдибалиевич,Ак Жол
Атамбаев Нурпазыл Сатышович,Ак Жол
Арсалиев Эрик Сайдалиевич,Ак Жол
Арапбаев Азамат Абдуллажанович,Ак Жол
Арабаев Автандил Анисович,Ак Жол
Акрамов Эрнаст Хашимович,Ак Жол
Байбураева Айгуль Бекишовна,Ак Жол
Кенжебаева Айнур Абдурасуловна,Ак Жол
Байтиков Асанбек Байдолотович,Ак Жол
Бурканов Арзыбек Орозматович,Ак Жол
Карабеков Кабай Джабаевич,Ак Жол
Каниметов Жангороз,Ак Жол
Калмаматов Ажибай Айтиевич,Ак Жол
Кабаев Акбаралы Саринжиевич,Ак Жол
Исанова Мария Насирдиновна,Ак Жол
Исаева Динара Шертаевна,Ак Жол
Исабеков Кубанычбек Сатиндиевич,Ак Жол
Иманалиева Айнура Касымбековна,Ак Жол
Ибрагимов Сергей Мухамедович,Ак Жол
Жумабекова Турдукан Абдыкарыевна,Ак Жол
Жамалдинов Зиядин Исламович,Ак Жол
Жакыпов Жолдошбек Сейталиевич,Ак Жол
Джунусов Ибрагим Коджоназарович,Ак Жол
Джолдошев Кубанычбек Ниязович,Ак Жол
Дербишева Гульнара Толубаевна,Ак Жол
Данилов Юрий Анатольевич,Ак Жол
Бурханов Авдикаримходжа Ходжаевич,Ак Жол
Бекенова Зулхабира,Ак Жол
Покусаев Олег Николаевич,Ак Жол
Нуржанов Бакытбек Качкынбаевич,Ак Жол
Асылбек уулу Дамирбек,Ак Жол
Базаркулова Гульмира Мукашевна,Ак Жол
Кадыралиев Санжарбек Кармышакович,Ак Жол
Иманалиев Бактыбек Тыбынович,Ак Жол
Мадумаров Адахан Кимсанбаевич,Ак Жол
Мырзакматов Мелисбек Жоошбаевич,Ак Жол
Ибраимова Эльмира Султановна,Ак Жол
Акунов Бейшебек,Партия коммунистов Кыргызстана
Шин Роман,Партия коммунистов Кыргызстана
Мамасейитова Бумайрам Уташевна,Партия коммунистов Кыргызстана
Байло Николай Иванович,Партия коммунистов Кыргызстана
Масалиев Исхак Абсаматович,Партия коммунистов Кыргызстана
Султаналиева Гульжамал Тиленбаевна,Партия коммунистов Кыргызстана
Коркмазов Хаджимурат Зулкарнаевич,Партия коммунистов Кыргызстана
Сейтказиев Анаш Токтосунович,Партия коммунистов Кыргызстана
Эгембердиев Шерали,Партия коммунистов Кыргызстана
Бешимов Бактыбек Джолчубекович,СДПК
Кадыров Кубанычбек Бекбосунович,СДПК
Скрипкина Галина Анатольевна,СДПК
Шабатоев Руслан Алымкулович,СДПК
Омуркулов Иса Шейшенкулович,СДПК
Ниязалиева Дамира Абаскановна,СДПК
Кодуранова Асель Союзбековна,СДПК
Артыкбаев Осмонбек Мамбетжанович,СДПК
Азыранкулов Айбек Джаныбекович,СДПК
Отунбаева Роза Исаковна,СДПК
Жээнбеков Асылбек Шарипович,СДПК
Асанакунов Мирбек Аскерович,СДПК
Карамушкина Ирина Юрьевна,СДПК
Джээнбеков Жусупжан Амражанович,СДПК
Джураев Мурат Каттабекович,СДПК
Ирсалиев Рахатбек Молдобекович,СДПК
