name,party
Абдылдаев Мыктыбек Юсупович,Ата-Журт
Ташиев Камчыбек Кыдыршаевич,Ата-Журт
Келдибеков Ахматбек Келдибекович,Ата-Журт
Иманалиева Эльмира Сансызбаевна,Ата-Журт
Тюлеев Нариман Ташболотович,Ата-Журт
Кангельдиев Азамат Нурказыевич,Ата-Журт
Джумабеков Дастанбек Артисбекович,Ата-Журт
Джолдошова Жылдызкан Айтибаевна,Ата-Журт
Кудайбергенов Джаныш Камчыбекович,Ата-Журт
Чолпонбаев Улан Сапарбекович,Ата-Журт
Айдаров Нургазы Абдыраевич,Ата-Журт
Исаева Динара Шертаевна,Ата-Журт
Молдобаев Нарынбек,Ата-Журт
Султанов Марат Абдыразакович,Ата-Журт
Жапаров Садыр Нургожоевич,Ата-Журт
Эсеналиева Сымбат,Ата-Журт
Сулайманов Нурлан Чолпонбаевич,Ата-Журт
Суракматов Азиз Эмильбекович,Ата-Журт
Шин Роман,Ата-Журт
Мажитова Шарапаткан,Ата-Журт
Арапбаев Азамат Абдуллажанович,Ата-Журт
Осмонов Курманбек Эргешович,Ата-Журт
Джунусов Ибрагим Коджоназарович,Ата-Журт
Нарматова Надира Азимовна,Ата-Журт
Мамытов Талант Турдумаматович,Ата-Журт
Абдиев Курмантай,Ата-Журт
Иманалиев Жусуп Умарович,Ата-Журт
Осмонова Нурзат Курманбековна,Ата-Журт
Атамбаев Алмазбек Шаршенович,СДПК
Исаков Исмаил Исакович,СДПК
Турсунбеков Чыныбай Акунович,СДПК
Карамушкина Ирина Юрьевна,СДПК
Атаджанов Сабир Садыкджанович,СДПК
Жээнбеков Асылбек Шарипович,СДПК
Алымбеков Замирбек Маданбекович,СДПК
Жамгырчиева Гульнара Оморовна,СДПК
Эрматов Эгемберди,СДПК
Тербишалиев Данияр Омурзакович,СДПК
Сакебаев Эркин Абдышевич,СДПК
Ниязалиева Дамира Абаскановна,СДПК
Асанов Курсан Сатарович,СДПК
Салымбеков Мамытбай Маткабылович,СДПК
Салимов Турсунтай Аблизович,СДПК
Скрипкина Галина Анатольевна,СДПК
Домшенко Олег Леонидович,СДПК
Исаев Жусупали Калматович,СДПК
Туманов Токтогул Туманович,СДПК
Измалкова Алла Николаевна,СДПК
Султанов Акылбек Шакирович,СДПК
Орозбаев Мамат,СДПК
Зулпукаров Торобай Закирович,СДПК
Кадыралиева Ыргал Кармышаковна,СДПК
Жоошбеков Заирбек Сулайманович,СДПК
Кадыров Бахтияр Сабиржанович,СДПК
Кулов Феликс Шаршенбаевич,Ар-Намыс
Жапаров Акылбек Усенбекович,Ар-Намыс
Бакир уула Турсунбая,Ар-Намыс
Мамырова Бодош Аманбаевна,Ар-Намыс
Артыков Анвар,Ар-Намыс
Гусаров Игорь Константинович,Ар-Намыс
Туманов Кубанычбек Туманович,Ар-Намыс
Асымбекова Гульнара Уметовна,Ар-Намыс
Торобеков Нурлан Надирович,Ар-Намыс
Бекешев Дастан Далабайевич,Ар-Намыс
Маматалиев Абдырахман Мадакимович,Ар-Намыс
Талиева Камила Абдыразаковна,Ар-Намыс
Мамытов Токтокучук Болотбекович,Ар-Намыс
Калматов Анарбек Баратович,Ар-Намыс
Рыспаев Кожобек Джайчыбекович,Ар-Намыс
Бадыкеева Нуржана Нуралиевна,Ар-Намыс
Джетигенов Бакытбек Дженишбекович,Ар-Намыс
Узакбаев Талантбек Макишович,Ар-Намыс
Бекбоев Замир Исакович,Ар-Намыс
Левина Татьяна Владимировна,Ар-Намыс
Осмоналиев Каныбек,Ар-Намыс
Иманалиев Каныбек Капашович,Ар-Намыс
Маматов Бактыгул Арстанович,Ар-Намыс
Алтыбаева Айнура Тойчиевна,Ар-Намыс
Исаков Эсенгул,Ар-Намыс
Бабанов Омурбек Токтогулович,Республика
Алимбеков Нурбек Каарыевич,Республика
Пирматов Исхак Айтбаевич,Республика
Султанбекова Чолпон Аалыевна,Республика
Исаев Канатбек Кедейканович,Республика
Торобаев Бакыт Эргешевич,Республика
Сулайманов Алтынбек Турдубаевич,Республика
Баатырбеков Алмазбек Баатырбекович,Республика
Акназарова Роза Корчубековна,Республика
Бокоев Кенжебек Сатымкулович,Республика
Арипов Назарали Турдалиевич,Республика
Джумалиева Эльмира Бусурманкуловна,Республика
Обдунов Элмурат Абдувапович,Республика
Осмонов Малик Калылович,Республика
Аманбаева Урулкан Абдилашимовна,Республика
Айтматов Куштарбек Суюнбаевич,Республика
Шайназаров Тынчтык Урайимович,Республика
Омурбекова Алтынай Сейтбековна,Республика
Бакиров Мирлан Исакбекович,Республика
Мурашев Нурбек Мурпазылжанович,Республика
Бекматов Абдыжапар Гапырович,Республика
Сабиров Максат Эсенович,Республика
Режавалиев Абдулатип Маматасанович,Республика
Текебаев Омурбек Чиркешович,Ата Мекен
Шер Болот,Ата Мекен
Никитенко Наталья Владимировна,Ата Мекен
Сапарбаев Жоомарт Рахатович,Ата Мекен
Алымбеков Эркинбек Джумабаевич,Ата Мекен
Балтабаев Ташполот,Ата Мекен
Сасыкбаева Асия Айтбаевна,Ата Мекен
Самаков Карганбек Садыкович,Ата Мекен
Маматов Абдимуктар,Ата Мекен
Мадылбеков Туратбек,Ата Мекен
Садырбаева Гуласал,Ата Мекен
Абдырахманов Омурбек,Ата Мекен
Тологонов Райкан,Ата Мекен
Жээнбеков Равшан Бабырбекович,Ата Мекен
Айтматова Ширин,Ата Мекен
Калмаматов Бактыбек,Ата Мекен
Сабиров Равшанбек Азатович,Ата Мекен
Досалиев Акуналы Атамурзаевич,Ата Мекен
