name,party
Абдылдаев Мыктыбек Юсупович,Бир Бол
Абжалиев Алиярбек Токобекович,Республика - Ата Журт
Айдаров Салайдин Абдираевич,Кыргызстан
Айнакулов Мухтарбек Айнакулович,СДПК
Акаев Жанарбек Кубанычович,СДПК
Акматов Алмазбек Жумабекович,Бир Бол
Алимбеков Нурбек Каарыевич,Кыргызстан
Алтыбаева Айнура Тойчиевна,СДПК
Алтынбеков Айбек,Республика - Ата Журт
Аманкулов Марат Аскерович,СДПК
Арапбаев Азамат Абдуллажанович,СДПК
Артыкбаев Осмонбек Мамбетжанович,СДПК
Артыков Анвар Артыкович,СДПК
Асылбаева Гюльшат Кадыровна,Онугуу-Прогресс
Асылбек уулу Дамирбек,Кыргызстан
Аттокуров Данияр Бексултанович,СДПК
Баатырбеков Алмазбек Баатырбекович,Кыргызстан
Бабанов Омурбек Токтогулович,Республика - Ата Журт
Байбакпаев Экмат Джурукпаевич,Республика - Ата Журт
Баймуратов Калдарбек Шакирович,Республика - Ата Журт
Бакиров Мирлан Исакбекович,Онугуу-Прогресс
Бакчиев Джаныбек Абдукапарович,Бир Бол
Бекешев Дастан Далабайевич,СДПК
Бокоев Кенжебек Сатымкулович,Республика - Ата Журт
Джакупова Чолпон Идиновна,Бир Бол
Жамалдинов Зиядин Исламович,Онугуу-Прогресс
Жамангулов Акылбек Жекшенович,Республика - Ата Журт
Жапаров Акылбек Усенбекович,Бир Бол
Жеенчороев Мирлан Канатбекович,Республика - Ата Журт
Джетигенов Бакытбек Дженишбекович,СДПК
Жолдошбаев Камчыбек Жолдошбаевич,Онугуу-Прогресс
Джумабеков Дастанбек Артисбекович,Кыргызстан
Жумалиев Кубанычбек Мырзабекович,Бир Бол
Жунус уулу Адыл,Республика - Ата Журт
Жунус уулу Алтынбек,Онугуу-Прогресс
Джураев Сайдолимжон Маруфович,СДПК
Жутанов Алмаз Токтоназарович,Онугуу-Прогресс
Жылкыбаев Узарбек Казиевич,СДПК
Жээнбеков Асылбек Шарипович,СДПК
Зулпукаров Торобай Закирович,СДПК
Зулушев Курманкул Токторалыевич,Республика - Ата Журт
Икрамов Тазабек Икрамович,Онугуу-Прогресс
Иманалиев Каныбек Капашович,Ата Мекен
Иминов Фархат Ажмуханбетович,Республика - Ата Журт
Исаева Динара Шертаевна,Республика - Ата Журт
Исаев Канатбек Кедейканович,Кыргызстан
Исаев Тилектеш Каримович,СДПК
Исаков Музаффар Ахматходжаевич,СДПК
Исакунова Таалайкул Базаркуловна,Кыргызстан
Исмаилова Аида Жекшенбаевна,Республика - Ата Журт
Кадыркулов Искендер Анарбекович,СДПК
Казакбаев Руслан Айтбаевич,Республика - Ата Журт
Калмаматов Жыргалбек Айтиевич,Кыргызстан
Каримов Нодирбек Тохтосинович,СДПК
Кодуранова Асель Союзбековна,СДПК
Конушбаев Тынчтыкбек Кадырбекович,Кыргызстан
Кулбараков Абтандил Илдузович,СДПК
Кыдыралиев Умбеталы Токторалиевич,Республика - Ата Журт
Мавлянова Махабат Эргешовна,Республика - Ата Журт
Мадеминов Мурадыл Ганыевич,СДПК
Макеев Нурланбек Кадыкеевич,Кыргызстан
Маматов Абдимуктар Маматович,Ата Мекен
