name,party_I,party_II,party_III,party_IV,party_V,party_VI,partyChanger,isFemale,allParties,partyCount,isPartyConstant
Иманалиев Каныбек Капашович,,Самовыдвиженцы,Самовыдвиженцы,,Ар-Намыс,Ата Мекен,1,0,",Самовыдвиженцы,Самовыдвиженцы,,Ар-Намыс,Ата Мекен",4,False
Текебаев Омурбек Чиркешович,Самовыдвиженцы,Самовыдвиженцы,Движение Ата-Журт,,Ата Мекен,Ата Мекен,1,0,"Самовыдвиженцы,Самовыдвиженцы,Движение Ата-Журт,,Ата Мекен,Ата Мекен",5,False
Никитенко Наталья Владимировна,,,,,Ата Мекен,Ата Мекен,0,1,",,,,Ата Мекен,Ата Мекен",2,True
Маматов Абдимуктар Маматович,,,,,Ата Мекен,Ата Мекен,0,0,",,,,Ата Мекен,Ата Мекен",2,True
Нышанов Сайдилла Канболотович,,,Самовыдвиженцы,,,Ата Мекен,0,0,",,Самовыдвиженцы,,,Ата Мекен",2,False
Самат Гульнара-Клара,,,,,,Ата Мекен,0,1,",,,,,Ата Мекен",1,False
Сулейманов Бахадыр Искакович,,,,,,Ата Мекен,0,0,",,,,,Ата Мекен",1,False
Токтошев Эмиль Токтакунович,,,,,,Ата Мекен,0,0,",,,,,Ата Мекен",1,False
Шыкмаматов Алмамбет Насырканович,,,,,,Ата Мекен,0,0,",,,,,Ата Мекен",1,False
Салянова Аида Женишбековна,,,,,,Ата Мекен,0,1,",,,,,Ата Мекен",1,False
Шер-Нияз Садык,,,,,,Ата Мекен,0,0,",,,,,Ата Мекен",1,False
Гайпкулов Искандер Торобаевич,,,,,,Ата Мекен,0,0,",,,,,Ата Мекен",1,False
Мамашова Айсулуу Турусбековна,,,,,,Ата Мекен,0,1,",,,,,Ата Мекен",1,False
Сыдыгалиев Нурбек Омурбекович,,,,,,Ата Мекен,0,0,",,,,,Ата Мекен",1,False
Жапаров Акылбек Усенбекович,,Самовыдвиженцы,,,Ар-Намыс,Бир Бол,1,0,",Самовыдвиженцы,,,Ар-Намыс,Бир Бол",3,False
Абдылдаев Мыктыбек Юсупович,,,,,Ата-Журт,Бир Бол,1,0,",,,,Ата-Журт,Бир Бол",2,False
Сулайманов Алтынбек Турдубаевич,,,,Ак Жол,Республика,Бир Бол,1,0,",,,Ак Жол,Республика,Бир Бол",3,False
Пирматов Исхак Айтбаевич,,,,,Республика,Бир Бол,1,0,",,,,Республика,Бир Бол",2,False
Шадиев Аскарбек Алимбаевич,,Самовыдвиженцы,Алга Кыргызстан,Ак Жол,,Бир Бол,1,0,",Самовыдвиженцы,Алга Кыргызстан,Ак Жол,,Бир Бол",4,False
Ормонов Улугбек Зулпукарович,,,Самовыдвиженцы,Ак Жол,,Бир Бол,1,0,",,Самовыдвиженцы,Ак Жол,,Бир Бол",3,False
Жумалиев Кубанычбек Мырзабекович,,,,,,Бир Бол,0,0,",,,,,Бир Бол",1,False
Торокулов Дуйшон Гуламкадырович,,,,,,Бир Бол,0,0,",,,,,Бир Бол",1,False
Турусбеков Бактыбек Сагындыкович,,,,,,Бир Бол,0,0,",,,,,Бир Бол",1,False
Чудинов Игорь Витальевич,,,,,,Бир Бол,0,0,",,,,,Бир Бол",1,False
Акматов Алмазбек Жумабекович,,,,,,Бир Бол,0,0,",,,,,Бир Бол",1,False
Тагаев Эрмамат Султанович,,,,,,Бир Бол,0,0,",,,,,Бир Бол",1,False
Субанбеков Бакирдин Жамалович,,,,,,Бир Бол,0,0,",,,,,Бир Бол",1,False
Бакчиев Джаныбек Абдукапарович,,,,,,Бир Бол,0,0,",,,,,Бир Бол",1,False
Джакупова Чолпон Идиновна,,,,,,Бир Бол,0,1,",,,,,Бир Бол",1,False
Джумабеков Дастанбек Артисбекович,,,,,Ата-Журт,Кыргызстан,1,0,",,,,Ата-Журт,Кыргызстан",2,False
Исаев Канатбек Кедейканович,,,,,Республика,Кыргызстан,1,0,",,,,Республика,Кыргызстан",2,False
Султанбекова Чолпон Аалыевна,,,,,Республика,Кыргызстан,1,1,",,,,Республика,Кыргызстан",2,False
Баатырбеков Алмазбек Баатырбекович,,,,,Республика,Кыргызстан,1,0,",,,,Республика,Кыргызстан",2,False
Алимбеков Нурбек Каарыевич,,,,,Республика,Кыргызстан,1,0,",,,,Республика,Кыргызстан",2,False
Турсунбаев Азизбек Атакозуевич,,,Самовыдвиженцы,Ак Жол,,Кыргызстан,1,0,",,Самовыдвиженцы,Ак Жол,,Кыргызстан",3,False
Асылбек уулу Дамирбек,,,,Ак Жол,,Кыргызстан,1,0,",,,Ак Жол,,Кыргызстан",2,False
Самаев Урматбек Обозбекович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Назаров Айтмамат Кошоевич,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Исаев Жаныбек Базаркулович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Конушбаев Тынчтыкбек Кадырбекович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Нурматов Кубанычбек Советович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Чойбеков Руслан Нуркалиевич,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Толонов Данияр Эрмекович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Токторов Алмазбек Сатиевич,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Алыбаев Орозбек Артельевич,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Макеев Нурланбек Кадыкеевич,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Аскарова Айнура Алмасбековна,,,,,,Кыргызстан,0,1,",,,,,Кыргызстан",1,False
Мусаев Насыр Исмазович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Калмаматов Жыргалбек Айтиевич,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Сарсейитов Исланбек Зайырбекович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Сыдыгалиев Бектен Качкыналиевич,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
