name,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser
Абдиев Курмантай,0,47,0,0,0,0,0,0,1,0,0,0,0,0,0,",,Ата-Журт,",5,Ата-Журт,
Абдуллаев Абдурахман Абдусаттарович,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Абдуллаева Чолпон Галийаскеровна,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Абдурасулов Ином Эргашевич,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Абдыкеримов Шаршенбек Шайлообекович,0,56,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,Кыргызстан",6,Кыргызстан,
Абдылдаев Мыктыбек Юсупович,1,43,0,0,0,0,0,0,1,0,0,1,0,0,0,",,Ата-Журт,Бир Бол",5,Ата-Журт,1.0
Абдылдаев Мыктыбек Юсупович,1,16,0,0,0,0,0,0,1,0,0,1,0,0,0,",,Ата-Журт,Бир Бол",6,Бир Бол,1.0
Абдылдаев Нурдин Туратбекович,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Абдыраимова Роза Асановна,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Абдырасаков Бейшенбек Токтобаевич,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Абдырахманов Омурбек,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Ата Мекен,",5,Ата Мекен,
Абжалиев Алиярбек Токобекович,0,48,0,1,0,0,0,0,0,1,0,0,0,0,1,"Самовыдвиженец,,,Республика - Ата Журт",3,Самовыдвиженец,3.0
Абжалиев Алиярбек Токобекович,0,89,0,1,0,0,0,0,0,1,0,0,0,0,1,"Самовыдвиженец,,,Республика - Ата Журт",6,Республика - Ата Журт,3.0
Азыранкулов Айбек Джаныбекович,0,97,0,0,0,1,0,0,0,0,0,0,0,0,0,",СДПК,,",4,СДПК,
